Brand,Engine_Displacement,Fuel_Type,Insurance,Kms_Driven,Location,Model,Ownership,Price,Registration_Year,Seats,Transmission
19,1197.0,4,1,66308,10,246,1,545000.0,2016,5,1
15,2996.0,4,1,28500,10,563,1,12600000.0,2022,5,0
9,1497.0,4,0,77000,10,429,1,599000.0,2017,5,0
27,1984.0,4,1,45000,10,1536,1,2495000.0,2020,5,0
10,1197.0,4,0,66000,10,2079,2,425000.0,2017,5,1
9,1497.0,4,1,76000,10,429,1,575000.0,2015,5,0
17,1451.0,2,1,14477,10,465,1,700000.0,2019,4,0
17,1451.0,4,0,30000,10,887,1,1200000.0,2019,5,0
1,1995.0,1,0,39346,10,55,1,4325000.0,2021,5,0
14,1493.0,1,0,46000,10,1466,1,1735000.0000000002,2022,5,0
19,998.0,0,1,39757,10,1380,1,382000.0,2020,4,1
10,1197.0,4,1,30713,10,2071,3,541000.0,2018,5,0
13,1368.0,4,1,69161,10,473,1,1050000.0,2018,5,0
19,998.0,4,2,75871,10,1871,1,227000.0,2013,5,1
10,1197.0,4,1,26000,10,2080,1,610000.0,2017,5,1
19,1462.0,4,1,44811,10,1963,1,1095000.0,2021,6,0
21,2987.0,1,1,77900,10,42,3,2800000.0,2014,7,0
10,998.0,4,1,17000,10,1776,1,975000.0,2019,5,0
10,998.0,4,0,13284,10,2092,1,1074000.0,2022,5,0
29,1496.0,4,1,78200,10,2034,1,660000.0,2018,5,0
14,1497.0,4,3,13000,10,1482,1,1550000.0,2022,5,0
10,1197.0,4,0,55000,10,825,1,495000.0,2018,5,1
8,1497.0,4,1,56516,10,639,1,785000.0,2019,5,0
19,998.0,4,0,60491,10,347,3,283000.0,2014,5,0
17,1451.0,4,3,26195,10,887,3,1160000.0,2019,5,0
18,2179.0,1,0,99776,10,1456,1,1295000.0,2018,7,1
27,1968.0,1,0,65000,10,1538,1,1625000.0,2017,5,0
19,1197.0,4,0,18191,10,1583,1,705000.0,2021,5,1
14,1497.0,1,0,22293,10,1479,1,1495000.0,2022,5,0
9,1199.0,4,1,25110,10,991,1,665000.0,2018,5,0
10,1197.0,4,0,16236,10,2060,3,294000.0,2015,5,1
0,2967.0,1,2,40000,10,1267,3,4450000.0,2017,7,0
17,1451.0,4,0,29000,10,881,1,1748999.9999999998,2021,6,0
19,1197.0,4,1,7500,10,1880,1,599000.0,2021,5,0
18,2696.0,1,1,99000,10,1517,1,525000.0,2013,7,0
